AgentType;TaskName;Distance;Collisions;Collisions_Medicine distribution;Collisions_Undergoing triage;Collisions_monitoring patients ;Collisions_Patient round ;Collisions_Supporting family member;Collisions_Writing report;Collisions_Monitoring patients;Collisions_Wheeling patient on a stretcher;Collisions_Bringing wheelchair;Collisions_Cleaner ;Collisions_Admitting patient in waiting area ;Duration;pos0x;pos0y;pos0z;pos1x;pos1y;pos1z;pos2x;pos2y;pos2z;pos3x;pos3y;pos3z;pos4x;pos4y;pos4z;pos5x;pos5y;pos5z;pos6x;pos6y;pos6z;pos7x;pos7y;pos7z;pos8x;pos8y;pos8z;pos9x;pos9y;pos9z;pos10x;pos10y;pos10z;pos11x;pos11y;pos11z;pos12x;pos12y;pos12z;pos13x;pos13y;pos13z;pos14x;pos14y;pos14z;pos15x;pos15y;pos15z;pos16x;pos16y;pos16z;pos17x;pos17y;pos17z;pos18x;pos18y;pos18z;pos19x;pos19y;pos19z
Nurse;Medicine distribution;30.85521;0;0;0;0;0;0;0;0;0;0;0;0;23.37769;-13.22;0.5166667;-13.119;-15.18211;0.5166667;-12.16687;-17.21252;0.5166667;-11.39404;-19.41101;0.5166667;-11.68848;-20.87487;0.5166667;-9.887179;-22.23754;0.5166667;-8.096565;-23.42377;0.5166667;-6.230841;-23.89595;0.5462853;-4.316764;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.925;0.7701981;-4.198999;-23.85508;0.8237524;-4.178608;-23.25732;0.5166667;-6.211514;-22.54704;0.5166667;-8.221931;-21.39011;0.5166667;-10.00744;-20.10453;0.5166667;-12.11097;-18.89981;0.5166667;-13.99707;-17.8798;0.5166667;-15.76511;-18.59389;0.5166667;-17.67543
Nurse;Medicine distribution;29.14655;0;0;0;0;0;0;0;0;0;0;0;0;21.36204;-14.50774;0.5166667;-12.6875;-16.41159;0.5166667;-11.59451;-18.58503;0.5166667;-11.5793;-20.8112;0.5166667;-11.07182;-22.89219;0.5166667;-10.25;-24.80313;0.5166667;-10.64118;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-25.715;0.5166667;-11.96;-24.94962;0.5166667;-11.23177;-23.18448;0.5166667;-9.899961;-21.051;0.5166667;-9.58516;-18.94029;0.5166667;-9.278963;-16.45936;0.5166667;-8.903952;-14.18245;0.5166667;-8.577428;-12.13954;0.5166667;-8.238849;-9.893557;0.5166667;-7.938223;NaN;NaN;NaN
Nurse;Medicine distribution;27.77925;0;0;0;0;0;0;0;0;0;0;0;0;21.12531;-12.87869;0.5166667;-13.94763;-12.04204;0.5166667;-15.97605;-11.71679;0.5166667;-18.18094;-10.73105;0.5166667;-19.51618;-8.688127;0.5166667;-18.28792;-6.718744;0.5166667;-17.33645;-4.78125;0.5166667;-17.87206;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.577634;0.5166667;-17.81631;-6.688332;0.5166667;-17.62428;-8.709229;0.5166667;-17.99603;-10.51163;0.5166667;-19.00476;-12.5541;0.5166667;-18.90514;-14.32438;0.5166667;-17.51142;-15.93709;0.5166667;-16.25548;-17.75265;0.5166667;-14.89954;NaN;NaN;NaN
Nurse;Medicine distribution;21.96113;0;2;0;0;0;0;0;0;0;0;0;0;20.37749;-13.40306;0.5166667;-13.35033;-12.68094;0.5166667;-14.74724;-11.76361;0.5166667;-16.8115;-11.70185;0.5166667;-19.14536;-9.682318;0.5166667;-20.01224;-7.525415;0.5166667;-20.62771;-5.620465;0.5166667;-21.26956;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.663436;0.5166667;-21.08498;-7.692766;0.5166667;-20.40288;-7.853892;0.5166667;-18.62246;-6.795397;0.5166667;-17.07588;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;-4.63;0.5166667;-17.914;NaN;NaN;NaN
Nurse;Medicine distribution;25.37709;0;0;0;0;0;0;0;0;0;0;0;0;19.30147;-13.22;0.5166667;-13.119;-12.52146;0.5166667;-14.81492;-11.93849;0.5166667;-16.91451;-13.29245;0.5166667;-17.3464;-15.08687;0.5166667;-18.68956;-16.58838;0.5166667;-19.87329;-18.33173;0.5166667;-21.21991;-19.60755;0.5166667;-22.94564;-20.90179;0.5166667;-24.84831;-19.86185;0.5166667;-27.10299;-19.92322;0.5166667;-29.31574;-20.09089;0.5166667;-30.12547;-20.09089;0.5166667;-30.12547;-20.09089;0.5166667;-30.12547;-20.09089;0.5166667;-30.12547;-20.09089;0.5166667;-30.12547;-19.9133;0.5166667;-28.69166;-19.88331;0.5166667;-26.52092;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;24.00739;0;0;0;0;0;0;0;0;0;0;0;0;18.34097;-13.03514;0.5166667;-13.4858;-12.20385;0.5166667;-15.57174;-11.75157;0.5166667;-17.71162;-11.25294;0.5166667;-19.23878;-9.899648;0.5166667;-20.67252;-8.444209;0.5166667;-22.28379;-6.95889;0.5166667;-23.9271;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.395;0.5166667;-24.139;-5.78863;0.5166667;-24.33334;-5.316072;0.5166667;-24.04977;-7.678357;0.5166667;-23.34996;-9.54856;0.5166667;-22.07806;-11.20111;0.5166667;-20.86407;-13.02732;0.5166667;-19.5225;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;21.00175;0;0;0;0;0;0;0;0;0;0;0;0;17.35959;-13.72436;0.5166667;-12.88149;-15.77811;0.5166667;-11.91088;-17.92625;0.5166667;-11.48351;-19.66143;0.5166667;-11.3724;-18.44569;0.5166667;-9.750335;-16.33664;0.5166667;-8.982037;-14.05576;0.5166667;-8.500125;-11.59009;0.5166667;-7.940452;-9.345391;0.5166667;-7.497952;-8.251814;0.5166667;-6.909166;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.985001;0.5166667;-6.599999;-8.349277;0.5166667;-7.784431;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;19.70327;0;2;0;0;0;0;0;0;0;0;0;0;16.35218;-12.95247;0.5166667;-13.76851;-12.09177;0.5166667;-15.85814;-11.65379;0.5166667;-17.74795;-11.81943;0.5166667;-19.63548;-9.752985;0.5166667;-20.11978;-7.453844;0.5166667;-20.66987;-5.2;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.11;0.5166667;-21.46667;-5.372896;0.5166667;-21.29241;-7.515989;0.5166667;-20.46915;-8.486409;0.5166667;-18.99555;-8.482629;0.5166667;-16.72955;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;16.4035;0;0;0;0;0;0;0;0;0;0;0;0;15.37037;-13.00206;0.5166667;-13.64812;-12.23639;0.5166667;-15.50643;-12.45081;0.5166667;-16.83094;-14.41945;0.5166667;-17.52522;-16.54387;0.5166667;-16.7876;-18.62113;0.5166667;-17.68947;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-19.40033;0.5166667;-18.45373;-18.17851;0.5166667;-17.57973;-16.68177;0.5166667;-16.46476;-15.19897;0.5166667;-17.79332;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Nurse;Medicine distribution;18.36926;0;0;0;0;0;0;0;0;0;0;0;0;14.11251;-12.98282;0.5166667;-13.69484;-12.14312;0.5166667;-15.72861;-11.67591;0.5166667;-17.86712;-11.45115;0.5166667;-20.07323;-10.28962;0.5166667;-22.24814;-9.22755;0.5166667;-24.27508;-8.169381;0.5166667;-25.97038;-6.729661;0.5166667;-27.45328;-5.41;0.5166667;-27.279;-5.41;0.5166667;-27.279;-5.936852;0.5166667;-27.29831;-5.41;0.5166667;-27.279;-5.920356;0.5166667;-27.05412;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
